city,song,song_id,release_date,peak_date,peak_streams,peak_listeners,weeks_to_peak,weeks_to_adopt,is_still_growing,peaked_first_week,total_streams
London,Cycles,1711474233,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
London,That Thing,1807227251,2025-03-21,2025-04-04,5,5,2.0,0.0,False,False,18
London,Kid,1711474235,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
London,Althea,1748029276,2024-06-21,2024-07-05,15,11,2.0,0.0,False,False,42
London,The Way That It Was,1711474242,2023-11-10,2023-11-10,1,0,0.0,0.0,False,True,1
London,Slipping Away,1711474243,2023-11-10,2023-11-10,1,0,0.0,0.0,False,True,1
London,Crash,1711474239,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
London,All In,1711474237,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
London,Holding On,1711474240,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
London,Easy,1711474241,2023-11-10,2023-11-10,1,0,0.0,0.0,False,True,1
Indianapolis,That Thing,1807227251,2025-03-21,2025-03-28,3,3,1.0,0.0,False,False,6
Indianapolis,Althea,1748029276,2024-06-21,2024-07-05,7,7,2.0,0.0,False,False,17
Indianapolis,Holding On,1711474240,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Indianapolis,Easy,1711474241,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Pittsburgh,That Thing,1807227251,2025-03-21,2025-03-21,5,5,0.0,0.0,False,True,7
Pittsburgh,Althea,1748029276,2024-06-21,2024-07-05,4,3,2.0,0.0,False,False,16
Springfield,Althea,1748029276,2024-06-21,2024-06-28,2,2,1.0,0.0,False,False,4
Springfield,That Thing,1807227251,2025-03-21,2025-05-02,1,1,6.0,6.0,False,False,1
Springfield,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,1.0,False,False,1
Bratislava,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Helsinki,Althea,1748029276,2024-06-21,2024-06-21,3,3,0.0,0.0,False,True,6
Helsinki,That Thing,1807227251,2025-03-21,2025-03-28,2,1,1.0,1.0,False,False,2
Anaheim,Althea,1748029276,2024-06-21,2024-07-12,2,2,3.0,2.0,False,False,4
Anaheim,That Thing,1807227251,2025-03-21,2025-04-11,1,1,3.0,3.0,False,False,1
Anaheim,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,1.0,False,False,1
Edmonton,That Thing,1807227251,2025-03-21,2025-03-21,2,2,0.0,0.0,False,True,8
Edmonton,Althea,1748029276,2024-06-21,2024-07-05,6,5,2.0,0.0,False,False,19
Osaka,Kid,1711474235,2023-11-10,2023-12-29,1,1,7.0,7.0,False,False,1
Osaka,That Thing,1807227251,2025-03-21,2025-03-21,2,2,0.0,0.0,False,True,8
Osaka,Althea,1748029276,2024-06-21,2024-07-19,5,5,4.0,2.0,False,False,8
Osaka,All In,1711474237,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Santiago,Althea,1748029276,2024-06-21,2024-08-23,1,1,9.0,9.0,False,False,1
Daytona Beach,What Home Is,1711474234,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Daytona Beach,Althea,1748029276,2024-06-21,2024-06-28,1,1,,1.0,True,False,1
Daytona Beach,Slipping Away,1711474243,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Daytona Beach,That Thing,1807227251,2025-03-21,2025-03-21,2,1,0.0,0.0,False,True,2
Daytona Beach,Cycles,1711474233,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Daytona Beach,Kid,1711474235,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Daytona Beach,The Way That It Was,1711474242,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Daytona Beach,Easy,1711474241,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Daytona Beach,All In,1711474237,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Daytona Beach,Crash,1711474239,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Daytona Beach,Holding On,1711474240,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Lisbon,That Thing,1807227251,2025-03-21,2025-03-21,2,2,0.0,0.0,False,True,2
Lisbon,Althea,1748029276,2024-06-21,2024-06-28,1,1,,1.0,True,False,1
St. Louis,What Home Is,1711474234,2023-11-10,2023-11-17,2,1,1.0,1.0,False,False,2
St. Louis,That Thing,1807227251,2025-03-21,2025-03-21,3,3,0.0,0.0,False,True,4
St. Louis,Cycles,1711474233,2023-11-10,2023-11-17,2,1,1.0,1.0,False,False,2
St. Louis,Althea,1748029276,2024-06-21,2024-06-21,15,10,0.0,0.0,False,True,33
St. Louis,The Way That It Was,1711474242,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
St. Louis,Holding On,1711474240,2023-11-10,2023-11-24,1,1,2.0,1.0,False,False,2
St. Louis,Kid,1711474235,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,2
St. Louis,Crash,1711474239,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,2
St. Louis,All In,1711474237,2023-11-10,2023-11-24,1,1,2.0,1.0,False,False,2
St. Louis,Slipping Away,1711474243,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,2
St. Louis,Easy,1711474241,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Orlando,Althea,1748029276,2024-06-21,2024-06-28,10,8,1.0,0.0,False,False,21
Orlando,That Thing,1807227251,2025-03-21,2025-03-28,6,3,1.0,0.0,False,False,14
Orlando,The Way That It Was,1711474242,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Orlando,Holding On,1711474240,2023-11-10,2023-11-17,2,1,1.0,1.0,False,False,2
Orlando,Kid,1711474235,2023-11-10,2023-11-17,1,0,1.0,1.0,False,False,1
Orlando,All In,1711474237,2023-11-10,2023-11-17,1,0,1.0,1.0,False,False,1
Orlando,Slipping Away,1711474243,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Orlando,Easy,1711474241,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Orlando,Crash,1711474239,2023-11-10,2023-11-17,1,0,1.0,1.0,False,False,1
Kingston Upon Hull,What Home Is,1711474234,2023-11-10,2023-11-10,2,0,0.0,0.0,False,True,2
Kingston Upon Hull,Cycles,1711474233,2023-11-10,2023-11-10,2,0,0.0,0.0,False,True,2
Kingston Upon Hull,Kid,1711474235,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Kingston Upon Hull,The Way That It Was,1711474242,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Kingston Upon Hull,Slipping Away,1711474243,2023-11-10,2023-11-10,3,1,0.0,0.0,False,True,3
Kingston Upon Hull,Crash,1711474239,2023-11-10,2023-11-10,2,0,0.0,0.0,False,True,2
Kingston Upon Hull,All In,1711474237,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Kingston Upon Hull,Holding On,1711474240,2023-11-10,2023-11-10,2,1,0.0,0.0,False,True,2
Kingston Upon Hull,Easy,1711474241,2023-11-10,2023-11-10,2,1,0.0,0.0,False,True,2
Las Vegas,What Home Is,1711474234,2023-11-10,2023-11-10,3,1,0.0,0.0,False,True,6
Las Vegas,All In,1711474237,2023-11-10,2023-11-10,2,1,0.0,0.0,False,True,3
Las Vegas,That Thing,1807227251,2025-03-21,2025-03-28,3,3,1.0,0.0,False,False,6
Las Vegas,Cycles,1711474233,2023-11-10,2023-11-10,3,1,0.0,0.0,False,True,5
Las Vegas,Kid,1711474235,2023-11-10,2023-11-10,4,1,0.0,0.0,False,True,5
Las Vegas,Crash,1711474239,2023-11-10,2023-11-10,2,1,0.0,0.0,False,True,3
Las Vegas,Althea,1748029276,2024-06-21,2024-06-28,9,5,1.0,0.0,False,False,19
Las Vegas,Easy,1711474241,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Las Vegas,Holding On,1711474240,2023-11-10,2023-11-10,2,1,0.0,0.0,False,True,3
Raleigh,What Home Is,1711474234,2023-11-10,2023-11-10,1,0,0.0,0.0,False,True,1
Raleigh,Cycles,1711474233,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Raleigh,Kid,1711474235,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Raleigh,The Way That It Was,1711474242,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Raleigh,Slipping Away,1711474243,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Raleigh,Crash,1711474239,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Raleigh,That Thing,1807227251,2025-03-21,2025-03-28,3,3,1.0,1.0,False,False,3
Raleigh,All In,1711474237,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Raleigh,Holding On,1711474240,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Raleigh,Easy,1711474241,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Raleigh,Althea,1748029276,2024-06-21,2024-07-05,2,2,,2.0,True,False,2
Saint George's,What Home Is,1711474234,2023-11-10,2023-11-10,1,0,0.0,0.0,False,True,1
Saint George's,Cycles,1711474233,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Saint George's,Kid,1711474235,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Saint George's,The Way That It Was,1711474242,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Saint George's,Slipping Away,1711474243,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Saint George's,Crash,1711474239,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Saint George's,All In,1711474237,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Saint George's,Holding On,1711474240,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Saint George's,Easy,1711474241,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
South Bend,The Way That It Was,1711474242,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
South Bend,Holding On,1711474240,2023-11-10,2023-11-10,2,0,0.0,0.0,False,True,2
South Bend,Easy,1711474241,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Bend,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,1
Fort Worth,Althea,1748029276,2024-06-21,2024-06-28,6,5,1.0,0.0,False,False,8
Fort Worth,That Thing,1807227251,2025-03-21,2025-03-21,2,2,0.0,0.0,False,True,3
Fort Worth,Easy,1711474241,2023-11-10,2023-12-01,1,1,3.0,3.0,False,False,1
Milan,Althea,1748029276,2024-06-21,2024-06-21,1,1,0.0,0.0,False,True,2
Omaha,Althea,1748029276,2024-06-21,2024-06-21,7,5,0.0,0.0,False,True,16
San Francisco,Althea,1748029276,2024-06-21,2024-06-21,6,4,0.0,0.0,False,True,11
San Francisco,That Thing,1807227251,2025-03-21,2025-04-11,4,3,3.0,0.0,False,False,10
Bridgeport,Althea,1748029276,2024-06-21,2024-06-28,3,3,,1.0,True,False,3
Madison,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,1
Madison,Althea,1748029276,2024-06-21,2024-06-21,2,2,0.0,0.0,False,True,6
Rochester,What Home Is,1711474234,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,3
Rochester,Cycles,1711474233,2023-11-10,2023-11-17,1,1,1.0,0.0,False,False,5
Rochester,That Thing,1807227251,2025-03-21,2025-03-28,6,4,1.0,1.0,False,False,8
Rochester,Althea,1748029276,2024-06-21,2024-06-28,8,7,1.0,0.0,False,False,13
Rochester,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,1.0,False,False,1
Rochester,Holding On,1711474240,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Tacoma,That Thing,1807227251,2025-03-21,2025-04-04,3,3,2.0,0.0,False,False,8
Tacoma,Althea,1748029276,2024-06-21,2024-06-21,5,3,0.0,0.0,False,True,9
Asheville,That Thing,1807227251,2025-03-21,2025-03-28,3,2,1.0,0.0,False,False,4
Asheville,Althea,1748029276,2024-06-21,2024-06-28,1,1,1.0,1.0,False,False,1
Brisbane,Althea,1748029276,2024-06-21,2024-06-28,3,3,1.0,0.0,False,False,6
Brisbane,That Thing,1807227251,2025-03-21,2025-03-28,2,2,1.0,1.0,False,False,3
Cape Coral,That Thing,1807227251,2025-03-21,2025-03-28,7,2,1.0,1.0,False,False,8
Cape Coral,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,1.0,False,False,1
Christchurch,That Thing,1807227251,2025-03-21,2025-03-28,2,2,1.0,1.0,False,False,3
Christchurch,Althea,1748029276,2024-06-21,2024-06-28,1,1,,1.0,True,False,1
Cleveland,That Thing,1807227251,2025-03-21,2025-03-28,3,2,1.0,0.0,False,False,4
Cleveland,Althea,1748029276,2024-06-21,2024-06-21,1,1,0.0,0.0,False,True,2
Columbus,That Thing,1807227251,2025-03-21,2025-03-21,2,2,0.0,0.0,False,True,8
Columbus,Althea,1748029276,2024-06-21,2024-06-21,5,5,0.0,0.0,False,True,16
Kelowna,Althea,1748029276,2024-06-21,2024-07-12,1,1,3.0,3.0,False,False,1
Kelowna,That Thing,1807227251,2025-03-21,2025-03-28,2,2,1.0,1.0,False,False,2
Lansing,That Thing,1807227251,2025-03-21,2025-03-28,2,2,1.0,0.0,False,False,3
Lansing,Althea,1748029276,2024-06-21,2024-06-28,2,2,1.0,1.0,False,False,6
Mesa,That Thing,1807227251,2025-03-21,2025-03-28,3,2,1.0,1.0,False,False,8
Mesa,Althea,1748029276,2024-06-21,2024-06-28,2,2,1.0,0.0,False,False,7
Sacramento,What Home Is,1711474234,2023-11-10,2023-11-17,2,1,1.0,1.0,False,False,2
Sacramento,That Thing,1807227251,2025-03-21,2025-04-25,4,3,5.0,0.0,False,False,17
Sacramento,Cycles,1711474233,2023-11-10,2023-11-17,2,1,1.0,1.0,False,False,2
Sacramento,The Way That It Was,1711474242,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Sacramento,Holding On,1711474240,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Sacramento,All In,1711474237,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Sacramento,Althea,1748029276,2024-06-21,2024-06-28,14,11,1.0,0.0,False,False,26
Sacramento,Slipping Away,1711474243,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Sacramento,Crash,1711474239,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,1
Wichita,That Thing,1807227251,2025-03-21,2025-03-28,3,2,1.0,0.0,False,False,6
Wichita,Althea,1748029276,2024-06-21,2024-06-21,3,3,0.0,0.0,False,True,10
Wilmington,Althea,1748029276,2024-06-21,2024-06-28,10,6,1.0,0.0,False,False,24
Wilmington,That Thing,1807227251,2025-03-21,2025-04-11,2,2,3.0,0.0,False,False,5
Auckland,That Thing,1807227251,2025-03-21,2025-04-18,1,1,4.0,1.0,False,False,3
Auckland,Althea,1748029276,2024-06-21,2024-06-28,3,2,1.0,1.0,False,False,4
Bakersfield,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Barnstable,Althea,1748029276,2024-06-21,2024-07-05,3,2,2.0,2.0,False,False,4
Barnstable,That Thing,1807227251,2025-03-21,2025-03-28,3,1,1.0,1.0,False,False,3
Bayonne,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Bemidji,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Boise,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,2
Boise,Althea,1748029276,2024-06-21,2024-06-28,5,5,1.0,0.0,False,False,17
Bordeaux,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Boulder,Althea,1748029276,2024-06-21,2024-06-21,4,4,0.0,0.0,False,True,6
Boulder,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Cape Town,That Thing,1807227251,2025-03-21,2025-04-11,2,2,3.0,0.0,False,False,4
Cape Town,Althea,1748029276,2024-06-21,2024-06-21,2,2,0.0,0.0,False,True,6
Charleroi,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Charleston,Althea,1748029276,2024-06-21,2024-06-21,1,1,,0.0,True,False,1
Charleston,That Thing,1807227251,2025-03-21,2025-03-28,3,1,1.0,1.0,False,False,3
Chowchilla,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Circleville,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Cookeville,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,2
Crawfordsville,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Dublin,That Thing,1807227251,2025-03-21,2025-04-11,1,1,3.0,1.0,False,False,2
Dublin,Althea,1748029276,2024-06-21,2024-08-16,1,1,8.0,1.0,False,False,3
Edinburgh,Althea,1748029276,2024-06-21,2024-07-26,1,1,5.0,5.0,False,False,2
Fort Wayne,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Frankfurt Am Main,Althea,1748029276,2024-06-21,2024-06-21,7,6,0.0,0.0,False,True,20
Frankfurt Am Main,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Gastonia,Althea,1748029276,2024-06-21,2024-06-21,1,1,0.0,0.0,False,True,4
Gastonia,That Thing,1807227251,2025-03-21,2025-04-25,1,1,5.0,1.0,False,False,2
Gordon,That Thing,1807227251,2025-03-21,2025-04-11,1,1,3.0,1.0,False,False,2
Hendersonville,That Thing,1807227251,2025-03-21,2025-03-28,2,1,1.0,1.0,False,False,2
Jacksonville,Althea,1748029276,2024-06-21,2024-06-21,14,5,0.0,0.0,False,True,19
Jacksonville,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,1.0,False,False,1
Jacksonville,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Joliette,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Kaohsiung,That Thing,1807227251,2025-03-21,2025-03-28,2,1,1.0,1.0,False,False,2
Kaohsiung,Althea,1748029276,2024-06-21,2024-07-05,1,1,2.0,2.0,False,False,1
Knoxville,Althea,1748029276,2024-06-21,2024-06-28,2,2,1.0,1.0,False,False,3
Knoxville,That Thing,1807227251,2025-03-21,2025-04-18,1,1,4.0,1.0,False,False,2
Lake Butler,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Lausanne,That Thing,1807227251,2025-03-21,2025-03-21,2,1,0.0,0.0,False,True,3
Lausanne,Althea,1748029276,2024-06-21,2024-08-16,3,2,8.0,0.0,False,False,7
Leesburg,What Home Is,1711474234,2023-11-10,2023-11-10,1,0,0.0,0.0,False,True,1
Leesburg,Cycles,1711474233,2023-11-10,2023-11-10,1,0,0.0,0.0,False,True,1
Leesburg,Slipping Away,1711474243,2023-11-10,2023-11-10,1,0,0.0,0.0,False,True,1
Leesburg,Crash,1711474239,2023-11-10,2023-11-10,1,0,0.0,0.0,False,True,1
Leesburg,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Leesburg,Althea,1748029276,2024-06-21,2024-06-28,1,1,,1.0,True,False,1
Leesburg,All In,1711474237,2023-11-10,2023-11-10,1,0,0.0,0.0,False,True,1
Leuven,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Lexington-Fayette,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Lexington-Fayette,Althea,1748029276,2024-06-21,2024-06-28,2,1,,1.0,True,False,2
Los Mochis,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Lubbock,That Thing,1807227251,2025-03-21,2025-03-21,2,1,0.0,0.0,False,True,4
Lubbock,Althea,1748029276,2024-06-21,2024-07-05,3,3,2.0,1.0,False,False,4
Melbourne,Althea,1748029276,2024-06-21,2024-07-05,4,4,2.0,1.0,False,False,9
Melbourne,That Thing,1807227251,2025-03-21,2025-04-11,1,1,3.0,1.0,False,False,2
Memphis,Althea,1748029276,2024-06-21,2024-06-21,1,1,0.0,0.0,False,True,3
Memphis,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,1.0,False,False,2
Memphis,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Minato,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Montgomery,Althea,1748029276,2024-06-21,2024-06-21,1,1,,0.0,True,False,1
Montgomery,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Newmarket,Althea,1748029276,2024-06-21,2024-06-28,1,1,1.0,1.0,False,False,3
Newmarket,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Oak Harbor,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,1.0,False,False,1
Oak Harbor,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Oldenburg,Althea,1748029276,2024-06-21,2024-06-21,1,1,,0.0,True,False,1
Oldenburg,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Ottawa,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,2
Ottawa,Crash,1711474239,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Ottawa,The Way That It Was,1711474242,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Ottawa,All In,1711474237,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Ottawa,Althea,1748029276,2024-06-21,2024-06-28,2,1,1.0,0.0,False,False,4
Ottawa,What Home Is,1711474234,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Ottawa,Easy,1711474241,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Ottawa,Cycles,1711474233,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Ottawa,Holding On,1711474240,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Ottawa,Kid,1711474235,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Phoenix,That Thing,1807227251,2025-03-21,2025-04-11,2,2,3.0,0.0,False,False,5
Phoenix,Althea,1748029276,2024-06-21,2024-06-28,9,7,1.0,0.0,False,False,28
Phoenix,Breaking Me Down,1807227249,2025-04-25,2025-04-25,1,1,0.0,0.0,False,True,2
Phoenix,Holding On,1711474240,2023-11-10,2024-02-02,1,1,,12.0,True,False,1
Port Saint Lucie,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Poznań,Althea,1748029276,2024-06-21,2024-07-12,1,1,3.0,2.0,False,False,2
Poznań,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Québec,That Thing,1807227251,2025-03-21,2025-03-28,3,1,1.0,1.0,False,False,3
Red Deer,Althea,1748029276,2024-06-21,2024-08-23,2,1,9.0,6.0,False,False,3
Red Deer,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Richmond,Althea,1748029276,2024-06-21,2024-06-28,4,4,1.0,0.0,False,False,7
Richmond,That Thing,1807227251,2025-03-21,2025-04-11,1,1,3.0,1.0,False,False,2
San Luis Obispo,That Thing,1807227251,2025-03-21,2025-04-11,1,1,3.0,1.0,False,False,2
San Luis Obispo,Althea,1748029276,2024-06-21,2024-07-05,1,1,,2.0,True,False,1
Sarasota,That Thing,1807227251,2025-03-21,2025-03-21,4,2,0.0,0.0,False,True,8
Sheridan,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Stuttgart,Althea,1748029276,2024-06-21,2024-06-21,1,1,,0.0,True,False,1
Stuttgart,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Taichung,Althea,1748029276,2024-06-21,2024-08-09,1,1,7.0,7.0,False,False,1
Taichung,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Tampa,That Thing,1807227251,2025-03-21,2025-03-21,8,3,0.0,0.0,False,True,13
Tampa,Althea,1748029276,2024-06-21,2024-07-05,9,5,2.0,0.0,False,False,12
Thành Phố Uông Bí,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Tijuana,That Thing,1807227251,2025-03-21,2025-04-18,1,1,4.0,1.0,False,False,2
Timmins,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Uvalde,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Vienna,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,2
Vienna,Althea,1748029276,2024-06-21,2024-06-21,2,2,0.0,0.0,False,True,3
Winkler,Althea,1748029276,2024-06-21,2024-07-12,1,1,3.0,3.0,False,False,1
Winkler,That Thing,1807227251,2025-03-21,2025-03-28,1,1,1.0,1.0,False,False,1
Zürich,Cycles,1711474233,2023-11-10,2023-12-29,1,1,7.0,7.0,False,False,1
Zürich,Althea,1748029276,2024-06-21,2024-07-05,3,1,2.0,2.0,False,False,4
Zürich,That Thing,1807227251,2025-03-21,2025-04-11,1,1,3.0,1.0,False,False,2
Akron,That Thing,1807227251,2025-03-21,2025-03-21,1,0,0.0,0.0,False,True,1
Akron,Althea,1748029276,2024-06-21,2024-06-28,6,2,1.0,0.0,False,False,10
Anchorage,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,1
Anchorage,Althea,1748029276,2024-06-21,2024-06-28,4,4,1.0,0.0,False,False,8
Ann Arbor,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,2
Ann Arbor,Althea,1748029276,2024-06-21,2024-06-28,2,2,1.0,1.0,False,False,2
Ashland,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,1
Ashland,Althea,1748029276,2024-06-21,2024-06-21,1,1,,0.0,True,False,1
Bay Harbor,That Thing,1807227251,2025-03-21,2025-03-21,1,0,0.0,0.0,False,True,1
Bellingham,That Thing,1807227251,2025-03-21,2025-03-21,2,1,0.0,0.0,False,True,2
Bellingham,Althea,1748029276,2024-06-21,2024-06-28,1,1,1.0,1.0,False,False,3
Billings,That Thing,1807227251,2025-03-21,2025-03-28,3,0,1.0,1.0,False,False,3
Billings,Althea,1748029276,2024-06-21,2024-06-28,1,1,1.0,1.0,False,False,2
Billings,The Way That It Was,1711474242,2023-11-10,2024-01-19,2,1,10.0,10.0,False,False,2
Bogotá,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,1
Buffalo,That Thing,1807227251,2025-03-21,2025-03-21,2,1,0.0,0.0,False,True,5
Buffalo,Althea,1748029276,2024-06-21,2024-06-28,7,6,1.0,0.0,False,False,10
Cadillac,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,1
Canton,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,1
Cardiff,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,1
Cardiff,Althea,1748029276,2024-06-21,2024-07-12,1,1,3.0,3.0,False,False,1
Chon Buri,That Thing,1807227251,2025-03-21,2025-03-21,1,1,0.0,0.0,False,True,1
Columbia,That Thing,1807227251,2025-03-21,2025-03-21,1,0,0.0,0.0,False,True,1
